0, Tucker, 17618, 666 Bonnair Ave,1967-00-19 19:00:00, build@yahoo.com, Tim, McGuire, 72813, 11667, Ms, 347091460, 0914956551,world, 3, 1, 1, 3, 1, 2, 4, 7, 1, 2, 1
1, Everitt, 97655, 571 Wentz Ln,1966-00-16 19:00:00, throw@yahoo.com, Casey, Sweeney, 69647, 94533, Mr, 749470058, 7955965247,asked, 4, 4, 1, 8, 2, 1, 4, 8, 4, 5, 1
2, Baconton, 18745, 421 Rosewood Ridge,1978-00-12 19:00:00, until@yahoo.com, Terry, Roberson, 43931, 35005, Ms, 522751071, 0433701263,pique, 3, 3, 1, 3, 2, 1, 2, 4, 5, 4, 2
3, Meldrim, 89413, 950 Donald Way,1955-00-02 19:00:00, world@yahoo.com, Travis, Cotton, 15224, 10712, Mr, 179761593, 1747547112,pique, 0, 3, 1, 6, 1, 2, 3, 3, 1, 4, 3
4, Alapaha, 94386, 1378 Whipple Ave,1955-00-30 19:00:00, speed@yahoo.com, Bobby, Casey, 83748, 58119, Ms, 921318190, 7661119450,enter, 0, 1, 1, 8, 1, 1, 5, 8, 2, 6, 3
5, Rochelle, 64569, 829 Eastward Rd,1984-00-01 19:00:00, about@yahoo.com, Mary ann, Brooks, 77718, 17237, Ms, 249249563, 5692122227,asked, 1, 4, 1, 4, 1, 1, 5, 7, 2, 5, 3
6, Hampton, 68962, 1079 Fair Drive,1961-00-07 19:00:00, throw@yahoo.com, Mitchell, Roman, 02970, 22491, Mr, 945283533, 5202745442,pique, 1, 4, 1, 7, 2, 2, 5, 4, 4, 2, 1
7, Hardwicke, 47038, 1496 Nugent Crescent,1966-00-28 19:00:00, speed@yahoo.com, Alex, Glass, 32812, 98795, Mr, 716167807, 6804204188,plane, 6, 3, 1, 3, 1, 2, 4, 3, 1, 2, 4
8, Peachtree City Website, 32057, 1320 Sunflower Trail,1966-00-21 19:00:00, pique@yahoo.com, Charlie, Bowen, 91984, 41955, Mr, 865698801, 3976763756,badly, 4, 3, 1, 7, 1, 2, 5, 7, 4, 5, 4
9, Shellman Bluff, 93270, 897 Blue Lane,1964-00-30 19:00:00, badly@yahoo.com, Marion, Atkins, 20861, 96242, Ms, 292427254, 0303485939,until, 8, 1, 1, 3, 2, 2, 3, 7, 5, 3, 1
